[0328/135847.192:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/build/three.js (21172)
[0328/135847.906:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.1", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0328/135847.915:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Durben/Documents/GitHub/airportTerminal/AnyLogic/vereinfachtes_Terminalmodell/3d/check_in_counter_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0328/135847.915:INFO:CONSOLE(271)] "load end: file:C:/Users/Durben/Documents/GitHub/airportTerminal/AnyLogic/vereinfachtes_Terminalmodell/3d/check_in_counter_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[0328/135847.997:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0328/135847.999:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Durben/Documents/GitHub/airportTerminal/AnyLogic/vereinfachtes_Terminalmodell/3d/detector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0328/135847.999:INFO:CONSOLE(271)] "load end: file:C:/Users/Durben/Documents/GitHub/airportTerminal/AnyLogic/vereinfachtes_Terminalmodell/3d/detector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[0328/135848.014:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[0328/135848.018:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Durben/Documents/GitHub/airportTerminal/AnyLogic/vereinfachtes_Terminalmodell/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[0328/135848.018:INFO:CONSOLE(271)] "load end: file:C:/Users/Durben/Documents/GitHub/airportTerminal/AnyLogic/vereinfachtes_Terminalmodell/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[0328/135848.028:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
